Experiment	Replicate	Modality	Genome
ENCSR820VEF	1	10x	GRCh38
ENCSR138NWM	1	10x	GRCh38
ENCSR634QXH	1	10x	GRCh38
ENCSR348VHG	1	10x	GRCh38
ENCSR052SGP	1	10x	GRCh38
ENCSR539WQZ	1	10x	GRCh38
ENCSR773ALL	1	10x	GRCh38
ENCSR858ICE	1	10x	GRCh38
ENCSR349XKD	1	ren	GRCh38
ENCSR089CGX	1	ren	GRCh38
ENCSR652WJE	1	ren	GRCh38
ENCSR434SXE	1	ren	GRCh38
ENCSR058XJK	1	ren	GRCh38
ENCSR161GPE	1	10x	GRCh38
ENCSR997YNO	1	ren	GRCh38
ENCSR453TVZ	1	ren	GRCh38
ENCSR733SZL	1	ren	GRCh38
ENCSR726QTF	1	ren	GRCh38
ENCSR052DKH	1	ren	GRCh38
ENCSR180GUX	1	10x	GRCh38
ENCSR188TJX	1	10x	GRCh38
ENCSR496XXB	1	multiome	GRCh38
ENCSR075FKI	1	10x	GRCh38
ENCSR037XNN	1	10x	GRCh38
ENCSR916EDP	1	multiome	GRCh38
ENCSR680NPV	1	10x	GRCh38
ENCSR886PUY	1	10x	GRCh38
ENCSR146VJA	1	10x	GRCh38
ENCSR196EOO	1	10x	GRCh38
ENCSR388NCA	1	ren	GRCh38
ENCSR470TKG	1	10x	GRCh38
ENCSR704RYV	1	10x	GRCh38
ENCSR164GSH	1	ren	GRCh38
ENCSR411MLR	1	ren	GRCh38
ENCSR737MVK	1	10x	GRCh38
ENCSR101JHK	1	ren	GRCh38
ENCSR922FEK	1	multiome	GRCh38
ENCSR105VKN	1	multiome	GRCh38
ENCSR913OAS	1	10x	GRCh38
ENCSR438ETW	1	ren	GRCh38
ENCSR696YOC	1	ren	GRCh38
ENCSR808WCV	1	ren	GRCh38
ENCSR234CRD	1	ren	GRCh38
ENCSR639HAJ	1	10x	GRCh38
ENCSR453BVR	1	ren	GRCh38
ENCSR757EGB	1	ren	GRCh38
ENCSR811SRE	1	10x	GRCh38
ENCSR194KHA	1	multiome	GRCh38
ENCSR499VTJ	1	multiome	GRCh38
ENCSR244GZL	1	ren	GRCh38
ENCSR023FME	1	ren	GRCh38
ENCSR817VFO	1	ren	GRCh38
ENCSR909OXO	1	ren	GRCh38
ENCSR845QFX	1	ren	GRCh38
#$	-	-	-
ENCSR371ZNU	1	10x	GRCh38
ENCSR266ZPZ	1	ren	GRCh38
ENCSR916RYB	1	10x	GRCh38
ENCSR799NRE	1	10x	GRCh38
ENCSR963HLE	1	10x	GRCh38
ENCSR579TPC	1	10x	GRCh38
ENCSR628NXO	1	10x	GRCh38
ENCSR375XCZ	1	10x	GRCh38
ENCSR904WIW	1	10x	GRCh38
ENCSR719QGN	1	10x	GRCh38
ENCSR274HQD	1	ren	GRCh38
ENCSR577BWJ	1	ren	GRCh38
ENCSR605FGF	1	10x	GRCh38
ENCSR644SCP	1	ren	GRCh38
ENCSR492GGN	1	ren	GRCh38
ENCSR275TWX	1	10x	GRCh38
ENCSR895LPX	1	10x	GRCh38
ENCSR427SIL	1	10x	GRCh38
ENCSR513HZN	1	ren	GRCh38
ENCSR042RUW	1	10x	GRCh38
ENCSR402PKA	1	10x	GRCh38
ENCSR690TAY	1	10x	GRCh38
ENCSR517QNQ	1	10x	GRCh38
ENCSR397ODX	1	ren	GRCh38
ENCSR967HFR	1	10x	GRCh38
ENCSR822GXQ	1	ren	GRCh38
ENCSR814OLA	1	10x	GRCh38
ENCSR182PJN	1	ren	GRCh38
ENCSR455CVZ	1	ren	GRCh38
ENCSR397LYX	1	ren	GRCh38
ENCSR481YWC	1	10x	GRCh38
ENCSR215BTH	1	ren	GRCh38
ENCSR384AYS	1	10x	GRCh38
ENCSR302CMX	1	ren	GRCh38
ENCSR718WGE	1	ren	GRCh38
ENCSR796RXX	1	ren	GRCh38
ENCSR086LCZ	1	10x	GRCh38
ENCSR454YDZ	1	10x	GRCh38
ENCSR261TQO	1	ren	GRCh38
ENCSR848EID	1	ren	GRCh38
ENCSR534KYJ	1	10x	GRCh38
ENCSR556UHL	1	10x	GRCh38
ENCSR908HQW	1	10x	GRCh38
ENCSR643EOZ	1	10x	GRCh38
ENCSR704SKG	1	ren	GRCh38
ENCSR979ZOG	1	ren	GRCh38
ENCSR302LEY	1	ren	GRCh38
ENCSR559MJT	1	ren	GRCh38
ENCSR181TLD	1	10x	GRCh38
ENCSR978IKJ	1	ren	GRCh38
ENCSR615TSN	1	10x	GRCh38
ENCSR803QTN	1	10x	GRCh38
ENCSR112UBQ	1	10x	GRCh38
ENCSR290IUT	1	10x	GRCh38
ENCSR725OFZ	1	10x	GRCh38
ENCSR541CKC	1	10x	GRCh38
ENCSR176EJL	1	10x	GRCh38
ENCSR168TFI	1	ren	GRCh38
ENCSR435CGY	1	multiome	GRCh38
